cntry,pplfair,pplhlp,ppltrst,lw_pnd,lrscale,polintr,stfdem,stfeco,stfgov,trstep,trstlgl,trstplc,trstplt,trstprl,trstprt,trtsci_pnd,imbgeco,imwbcnt,happy,rlgdgr,cntgrp_fc,contadornegativo,ContadorNeutro,ContadorPositivo
Hungría,2.0,4.0,2.0,3.0,8.0,2.0,7.0,1.0,7.0,6.0,5.0,5.0,5.0,8.0,0.0,8.0,1.0,2.0,8.0,1.0,2,0,5.25,1.5
Hungría,2.0,4.0,3.0,2.0,2.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,2.0,2.0,0.0,8.0,4.0,4.0,5.0,4.0,2,0,1.75,1.5
Hungría,8.0,8.0,8.0,3.0,2.0,2.0,7.0,6.0,9.0,7.0,6.0,8.0,7.0,8.0,0.0,4.0,4.0,5.0,10.0,7.0,2,0,2.25,3.0
Hungría,5.0,3.0,3.0,1.0,4.0,1.0,7.0,4.0,6.0,9.0,9.0,6.0,3.0,8.0,0.0,8.0,7.0,7.0,7.0,6.0,2,0,1.5,2.25
Hungría,5.0,5.0,5.0,2.0,9.0,3.0,5.0,5.0,3.0,5.0,5.0,5.0,0.0,5.0,0.0,4.0,5.0,5.0,10.0,8.0,2,10,16.75,4.5
Hungría,2.0,6.0,2.0,1.0,5.0,4.0,5.0,1.0,5.0,5.0,5.0,5.0,3.0,3.0,0.0,5.0,4.0,5.0,1.0,5.0,2,6,13.5,2.25
Hungría,5.0,2.0,4.0,1.0,7.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,0.0,0.0,0.0,5.0,7.0,5.0,5.0,0.0,2,0,9.0,6.75
Hungría,5.0,3.0,5.0,2.0,5.0,2.0,5.0,2.0,2.0,5.0,5.0,3.0,2.0,3.0,0.0,4.0,5.0,5.0,5.0,2.0,2,0,13.75,1.5
Hungría,1.0,3.0,2.0,2.0,5.0,4.0,3.0,3.0,5.0,3.0,5.0,5.0,2.0,2.0,0.0,9.0,3.0,3.0,8.0,0.0,2,2,6.0,3.25
Hungría,7.0,5.0,4.0,1.0,5.0,2.0,7.0,6.0,7.0,8.0,8.0,4.0,7.0,5.0,0.0,10.0,7.0,5.0,8.0,7.0,2,1,6.25,3.5
Hungría,9.0,5.0,4.0,1.0,2.0,3.0,4.0,2.0,2.0,3.0,1.0,1.0,0.0,7.0,0.0,7.0,2.0,3.0,8.0,5.0,2,0,3.25,3.5
Hungría,6.0,4.0,5.0,3.0,8.0,4.0,6.0,5.0,4.0,5.0,5.0,6.0,1.0,5.0,0.0,7.0,5.0,5.0,6.0,10.0,2,2,11.0,3.25
Hungría,5.0,5.0,3.0,2.0,4.0,3.0,6.0,5.0,5.0,7.0,5.0,5.0,5.0,6.0,0.0,7.0,7.0,6.0,5.0,1.0,2,1,12.25,1.5
Hungría,4.0,6.0,3.0,2.0,7.0,2.0,2.0,4.0,4.0,6.0,4.0,5.0,5.0,5.0,0.0,6.0,7.0,6.0,7.0,8.0,2,0,4.75,1.5
Hungría,5.0,8.0,5.0,1.0,5.0,3.0,7.0,5.0,7.0,5.0,6.0,6.0,6.0,4.0,0.0,5.0,5.0,5.0,9.0,8.0,2,0,12.25,2.0
Hungría,6.0,2.0,6.0,3.0,4.0,3.0,5.0,5.0,7.0,5.0,5.0,5.0,5.0,8.0,0.0,5.0,5.0,6.0,2.0,5.0,2,0,14.25,1.5
Hungría,6.0,5.0,4.0,2.0,6.0,2.0,9.0,6.0,7.0,5.0,5.0,5.0,4.0,6.0,0.0,7.0,2.0,5.0,10.0,0.0,2,0,7.75,4.5
