,neighbourhood,longitude,room_type,minimum_nights,calculated_host_listings_count,availability_365
37714,0.23958333333333331,0.48237270222321627,0.5,0.0,0.0,0.0
42436,0.6979166666666666,0.5173819499490548,1.0,0.7499999999999999,1.0,0.0
41724,0.041666666666666664,0.576246555693956,0.5,0.16666666666666669,0.0,0.0
16248,0.020833333333333332,0.5586192579172007,0.5,0.08333333333333333,0.0,0.2054794520547945
36070,0.21875,0.6078586796512297,0.0,0.9999999999999999,1.0,1.0
28613,0.08333333333333333,0.4803533008719114,0.5,0.9999999999999999,1.0,0.9945205479452055
21100,0.020833333333333332,0.5425395387460696,0.0,0.0,0.3333333333333333,0.08767123287671233
26812,0.6666666666666666,0.4685011135017021,0.5,0.0,0.0,0.0
24775,0.23958333333333331,0.49145057184915686,0.0,0.3333333333333333,0.0,0.0
41870,0.44791666666666663,0.44083342769789624,0.5,0.3333333333333333,0.0,0.8164383561643835
16492,0.020833333333333332,0.5518250103800995,0.5,0.0,0.0,0.0
29144,0.010416666666666666,0.5235345185520544,0.0,0.08333333333333333,0.0,0.13424657534246576
19378,0.15625,0.5971766126901628,0.5,0.9999999999999999,0.0,0.0
39079,0.07291666666666666,0.4699165817385733,0.5,0.25,0.3333333333333333,0.0
9192,0.16666666666666666,0.49862227758276845,0.0,0.0,1.0,0.0
25853,0.07291666666666666,0.4853734948854367,0.0,0.16666666666666669,1.0,0.6164383561643836
32361,0.07291666666666666,0.4701241837466341,0.5,0.0,0.0,0.9780821917808219
10814,0.7395833333333333,0.48346733099307926,0.0,0.08333333333333333,0.0,0.0
45047,0.21875,0.6003095157211362,0.5,0.08333333333333333,0.0,0.010958904109589041
27026,0.35416666666666663,0.47421960517871753,0.5,0.16666666666666669,0.0,0.27123287671232876
26938,0.26041666666666663,0.5890235156456356,0.0,0.49999999999999994,0.3333333333333333,0.09315068493150686
31396,0.21875,0.6317706563997945,0.5,0.25,0.0,0.10410958904109589
4883,1.0,0.6478881213905652,0.0,0.9999999999999999,1.0,0.9643835616438357
21856,0.21875,0.6171064054655915,0.0,0.0,0.0,0.0
42275,0.38541666666666663,0.8194051258823265,0.5,0.25,0.0,1.0
3939,0.020833333333333332,0.5679236024610361,0.0,0.16666666666666669,0.3333333333333333,0.4876712328767123
16671,0.22916666666666666,0.5465594685388737,0.0,0.25,0.3333333333333333,0.0
15952,0.14583333333333331,0.4679726720265762,0.5,0.0,0.0,0.0
2210,0.5833333333333333,0.6159551579662548,0.0,0.25,0.3333333333333333,0.473972602739726
6735,1.0,0.44653304646510605,0.0,0.0,0.0,0.2410958904109589
14115,0.15625,0.5719246593439777,0.5,0.16666666666666669,0.0,0.936986301369863
24897,1.0,0.4434756350734119,0.5,0.0,0.3333333333333333,0.9123287671232877
7976,0.0625,0.6021968067036596,0.0,0.08333333333333333,0.6666666666666667,0.27123287671232876
14064,0.03125,0.5242894349450751,0.5,0.3333333333333333,0.0,0.0
6196,0.7916666666666666,0.47406862190013044,0.0,0.08333333333333333,0.3333333333333333,0.0
36918,1.0,0.700222700335928,0.5,0.0,0.0,0.9863013698630138
12566,0.21875,0.5970067565017132,0.0,0.16666666666666669,0.0,0.0
19013,0.23958333333333331,0.48459970558261034,0.5,0.0,0.0,0.0
13958,0.16666666666666666,0.5082097157740009,0.5,0.3333333333333333,0.0,0.030136986301369864
147,0.19791666666666666,0.4905069263579094,0.5,0.16666666666666669,0.0,0.6794520547945205
24158,0.65625,0.7410448042879239,0.5,0.16666666666666669,1.0,0.0
24380,0.38541666666666663,0.7836975804929693,0.5,0.0,0.0,0.4136986301369863
21848,0.16666666666666666,0.49992450836072067,0.5,0.4166666666666667,0.0,0.11506849315068493
30012,0.0625,0.5424829200165959,0.0,0.0,1.0,0.7232876712328767
19761,0.4583333333333333,0.6594572151134344,0.0,0.49999999999999994,0.0,0.24383561643835616
33544,0.11458333333333333,0.44913750802098207,0.5,0.16666666666666669,0.0,0.0
20021,0.29166666666666663,0.5493337862831709,0.5,0.9999999999999999,0.0,0.0
43816,0.375,0.46040463518664865,0.5,0.08333333333333333,0.0,0.1178082191780822
11478,0.20833333333333331,0.5487487260785997,0.5,0.0,0.0,0.0
35465,0.5104166666666666,0.6295059072207891,0.5,0.25,0.0,0.07123287671232877
21327,0.14583333333333331,0.4707092439512337,0.0,0.0,0.0,0.0
14564,0.020833333333333332,0.5547880572226518,0.0,0.0,0.6666666666666667,0.9095890410958904
20705,0.15625,0.5841543049107258,0.0,0.08333333333333333,1.0,0.9095890410958904
20273,0.041666666666666664,0.5760200807760611,0.5,0.16666666666666669,0.0,0.019178082191780823
36934,0.020833333333333332,0.572962669384367,0.5,0.0,0.0,0.2054794520547945
8305,0.3125,0.5659985656588731,0.0,0.0,0.0,0.0
30883,0.0625,0.5895897029404011,0.5,0.16666666666666669,0.0,0.736986301369863
12539,1.0,0.6229947533310565,0.5,0.08333333333333333,0.3333333333333333,0.4246575342465753
