,neighbourhood_group,neighbourhood,latitude,longitude,room_type,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
7822,0.0,0.25,0.391269630023956,0.5485033782508708,0.0,0.0,0.0,0.17026378896882494,0.0,0.0
37532,0.3333333333333333,0.010416666666666666,0.6096740629612611,0.48665685275355486,0.5,0.9999999999999999,0.05714285714285714,0.11990407673860912,0.0,0.40273972602739727
44829,0.6666666666666666,0.26041666666666663,0.6130374815495969,0.5782848299550665,0.0,0.0,0.12857142857142856,1.0,1.0,0.9780821917808219
31798,0.0,0.21875,0.49526943644590915,0.598195749820718,0.0,0.25,0.02857142857142857,0.031175059952038377,0.0,0.9945205479452055
47722,0.0,0.0625,0.45996563989643846,0.5350281206356442,0.5,0.0,0.014285714285714285,0.23741007194244604,1.0,0.936986301369863
48364,0.0,0.21875,0.48825223219685654,0.5990827765824918,0.5,0.08333333333333333,0.0,0.17026378896882494,0.3333333333333333,0.9835616438356164
25930,0.3333333333333333,0.19791666666666666,0.5567304667650603,0.4907334012758042,0.0,0.16666666666666669,0.04285714285714286,0.031175059952038377,0.0,0.0
7040,0.0,0.21875,0.4885909937813011,0.6216925225531327,0.0,0.0,1.0,0.8105515587529977,0.3333333333333333,0.4657534246575343
21564,0.6666666666666666,0.65625,0.5506811527572779,0.7384780885516875,0.5,0.9999999999999999,0.0,0.17026378896882494,0.0,0.0
23730,0.6666666666666666,0.32291666666666663,0.593461901420369,0.6471520779073785,0.0,0.08333333333333333,0.15714285714285714,0.10551558752997603,0.0,0.0273972602739726
7800,0.0,0.13541666666666666,0.47559706729256845,0.5093609632733092,0.0,0.0,1.0,0.7218225419664269,0.0,0.6821917808219178
5260,1.0,1.0,0.7451061049677037,0.613256331861237,0.0,0.0,1.0,1.0,0.0,0.12054794520547946
6650,0.0,0.125,0.5079971931182996,0.5327633714566105,0.0,0.0,0.0,0.17026378896882494,0.0,0.0
11605,0.3333333333333333,0.020833333333333332,0.7286761681225329,0.5524666893141728,0.5,0.0,0.0,0.17026378896882494,0.3333333333333333,0.0
16852,1.0,1.0,0.7732959082439947,0.6286000075491813,0.0,0.08333333333333333,0.9714285714285714,0.43645083932853723,0.0,0.4273972602739726
20137,0.0,0.0625,0.4726450020567796,0.5531083682482176,0.0,0.08333333333333333,0.7857142857142857,0.46522781774580335,0.0,0.0
43494,0.0,0.125,0.5315895177486851,0.5267240403125584,0.5,0.9999999999999999,0.014285714285714285,0.09832134292565947,0.0,0.4383561643835616
40151,0.0,0.8541666666666666,0.18827884917850213,0.5294606122371874,1.0,0.0,0.014285714285714285,0.23741007194244604,0.3333333333333333,0.9972602739726028
2874,0.0,0.5625,0.3200329082682032,0.56048767598989,0.5,0.0,0.07142857142857142,0.01678657074340528,0.0,0.989041095890411
39631,0.6666666666666666,0.65625,0.5382437631572685,0.748084399652754,0.0,0.0,0.014285714285714285,0.03597122302158274,0.0,0.6821917808219178
46021,0.3333333333333333,0.44791666666666663,0.5052871004428141,0.4492884912995976,0.5,0.9999999999999999,0.0,0.17026378896882494,1.0,0.9506849315068493
11807,0.6666666666666666,0.6354166666666666,0.529121397633503,0.9191295813988631,0.5,0.3333333333333333,1.0,0.45323741007194246,0.0,0.9095890410958904
26405,0.0,0.21875,0.4804607157548304,0.6160306496055625,0.0,0.08333333333333333,0.8142857142857143,0.6402877697841728,0.6666666666666667,0.049315068493150684
7762,0.0,0.125,0.4897040675587476,0.5765296493413246,0.0,0.25,0.04285714285714286,0.01918465227817746,0.3333333333333333,0.0684931506849315
