,neighbourhood,longitude,room_type,minimum_nights,calculated_host_listings_count,availability_365
41095,0.15625,0.5518816291095732,0.0,0.0,0.0,0.2054794520547945
26552,0.08333333333333333,0.48071188615861615,0.5,0.9999999999999999,1.0,0.8575342465753425
4650,0.22916666666666666,0.5367078096100784,0.5,0.0,0.0,0.0
8223,0.7083333333333333,0.48344845808327364,0.5,0.08333333333333333,0.0,0.0
41834,0.125,0.5586570037368404,0.0,0.0,0.3333333333333333,0.4136986301369863
32659,0.29166666666666663,0.5383497527648728,0.5,0.08333333333333333,0.0,0.0027397260273972603
10183,0.26041666666666663,0.5428603782131347,0.5,0.08333333333333333,0.0,0.0
23378,0.26041666666666663,0.5875325557694566,0.0,0.08333333333333333,0.3333333333333333,0.0
12609,0.08333333333333333,0.476144641980909,0.5,0.25,0.0,0.0
13700,0.03125,0.5268938965009795,0.5,0.0,0.0,0.0
38146,0.5833333333333333,0.6006114822783388,0.5,0.0,0.3333333333333333,0.005479452054794521
36814,0.3645833333333333,0.6002717699014966,0.0,0.08333333333333333,0.0,0.7534246575342466
3063,0.11458333333333333,0.45427093949345476,0.5,0.7499999999999999,0.0,0.008219178082191782
45658,0.08333333333333333,0.5184010870796101,0.5,0.9999999999999999,0.6666666666666667,0.9506849315068493
2115,0.125,0.5395576189937117,0.5,0.08333333333333333,0.0,0.9972602739726028
12662,0.14583333333333331,0.4483637187181557,0.5,0.08333333333333333,0.0,0.0
7880,0.3125,0.5707167931151673,0.5,0.08333333333333333,0.0,0.0
39710,0.6354166666666666,0.9564790699429864,0.5,0.08333333333333333,0.0,0.038356164383561646
41096,0.29166666666666663,0.517551806137476,0.5,0.0,0.0,0.0
35038,0.0625,0.57322689012193,1.0,0.0,1.0,0.23287671232876714
248,0.21875,0.614785037557084,0.5,0.16666666666666669,0.0,0.1863013698630137
39652,0.11458333333333333,0.4521383006832025,0.5,0.16666666666666669,0.6666666666666667,0.3150684931506849
36393,0.0625,0.5355943079304097,0.0,0.08333333333333333,0.6666666666666667,0.0684931506849315
7627,0.125,0.5498244819386287,0.0,0.0,0.0,0.0
38288,0.08333333333333333,0.5279507794511744,0.5,0.25,0.0,0.726027397260274
24246,0.0,0.4947533310685799,0.5,0.08333333333333333,0.0,0.0
29141,0.0625,0.6146151813686629,0.5,0.0,0.0,0.07671232876712329
38113,0.23958333333333331,0.47412524062960415,0.5,0.16666666666666669,0.0,0.4328767123287671
12628,0.0625,0.6033103083833566,0.0,0.7499999999999999,0.0,0.0
26634,0.20833333333333331,0.5488808364473527,0.5,0.0,0.0,0.0
12967,0.19791666666666666,0.4888272373834752,0.0,0.16666666666666669,0.0,0.0
5231,0.14583333333333331,0.45766806326199116,0.5,0.08333333333333333,0.0,0.0
32386,0.10416666666666666,0.4857698259917811,0.0,0.9999999999999999,0.0,0.936986301369863
42045,0.05208333333333333,0.5037745819650468,0.5,0.9999999999999999,1.0,0.936986301369863
83,0.22916666666666666,0.5277243045332796,0.5,0.4166666666666667,0.0,0.10410958904109589
16250,0.020833333333333332,0.5665836258634442,0.0,0.16666666666666669,0.0,0.0
2053,0.34375,0.4606311101045719,0.5,0.4166666666666667,0.0,0.06575342465753425
33683,0.19791666666666666,0.48924244139962525,0.5,0.0,0.3333333333333333,0.2767123287671233
20938,0.8854166666666666,0.8903483939153887,0.0,0.08333333333333333,0.0,0.16164383561643836
29196,0.22916666666666666,0.5397840939116065,0.0,0.16666666666666669,0.0,0.0
22633,0.020833333333333332,0.5606009134488374,0.0,0.9999999999999999,1.0,0.5534246575342466
47597,0.07291666666666666,0.4823349564035766,0.5,0.08333333333333333,0.0,0.3424657534246575
